relation_id,relation_name
0,Relate_To
1,Located_In
2,Operate_In
3,Propose
4,Assume
5,Has
6,Estimate
7,Construct
8,Based_On
9,Author
10,in
11,Participates_In
12,Suffer_From
13,Execute
14,Is_Robust_Against
15,Impact
16,Reduce_To
17,Is_Member_Of
18,Negative_Impact_On
19,Introduce
20,Support
21,Control
22,Relate\_To
23,Mention
24,"('Entropy Regularization', 'CONCEPT')"
25,Learn
26,Converge
27,Study
28,Appears_Appropriate_For
29,Faces
30,Help
31,Used_For
32,Applied_To
33,Train
34,Apply
35,Use
36,Theoretical_Work
37,Reduce
38,Demonstrate
39,Equal
40,Critical_To
41,Adopt
42,Call
43,Observe
44,Announce
45,Initial_State_Distribution
46,State
47,Interaction
48,Mean Field Interaction
49,Current State
50,
51,Coefficient B D2
52,Variance
53,Uncertainty
54,Operate\_In
55,Max
56,Raise
57,Produce
58,Include
59,Collaborate_With
60,Can Be
61,Negative\_Impact\_On
62,Achieved
63,Used_By
64,Overpassed_By
65,Accessed_By
66,Collected_By
67,Commercialized_By
68,Hinted_By
69,variance
70,Conduct
71,Used_In
72,Does_Not_Require
73,Publish
74,Evolve
75,High_Demand
76,Possible
77,Originally_Known_As
78,Owned_By
79,Operated_By
80,Develop
81,Acquires
82,Positive_Impact_On
83,Potential_Violation_Of
84,Access
85,Provide
86,Avail
87,Available_With
88,Full
89,Under-perform_In
90,Define
91,Has_Part
92,Equation_For
93,Tracked_By
94,Has_Application
95,Have
96,Release
97,Decrease
98,Conclude
99,Violate
100,Encourage
101, Ensure
102,Classify
103,Involved_In
104,Located_On
105,Part_Of
106,Publish_In
107,Presented
108,Transform
109,Transform_To
110,Is_A
111,Connect_To
112,Store
113,Appear_In
114,Published_By
115,Published_In
116,Move
117,Increase
118,Evacuated
119,During
120,Unoccupied
121,Track
122,Localize
123,Tracked
124,Demonstrated
125,Similar
126,In
127,For
128,Stored_In
129,Convert
130,Converted_To
131,Stored_As
132,Embed
133,Embedded_In
134,Information
135,Different
136,Treats
137,Is
138,Useful_For
139,Belongs_To
140,Greater_Than
141,Compare
142,Unable_to_Classify_Better_Than
143,Preserved_During
144,Located_With_Error
145,Writes
146,Unable_To
147,Windowed
148,Sent
149,Make
150,Based
151,Cite
152,Is\_Member\_Of
153,Write
154,Review
155,Assist
156,Publish_On
157,Occur_On
158,Organize
159,Publisher
160,Date
161,PublicationForum
162,PublishedOnDate
163,Contains
